Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Dominik Gabriel,M,B,Raw,17,16-17,14-18,T 16-17,102.5,110,,,,,,120,130,-140,,130,,,,,,130,1,79.18,78.36,74.83,58.87,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Marek Herák,M,B,Multi-ply,19,18-19,19-23,T 18-19,59.8,60,,,,,,165,-175,175,-180,175,,,,,,175,1,148.11,149.71,146.22,84.82,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Miroslav Adamove,M,B,Multi-ply,18,18-19,14-18,T 18-19,87.7,90,,,,,,250,-270,-270,,250,,,,,,250,1,163.81,161.77,155.22,85.72,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Kamil Lipiňski,M,B,Multi-ply,19,18-19,19-23,T 18-19,89.5,90,,,,,,-170,-180,-180,,,,,,,,,DQ,,,,,,Poland,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Gabriel Kováč,M,B,Multi-ply,20,20-23,19-23,Juniors,81.6,82.5,,,,,,260,280,-290,,280,,,,,,280,1,190.86,188.82,181.77,100.89,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Adrian Kopania,M,B,Multi-ply,22,20-23,19-23,Juniors,78.3,82.5,,,,,,200,-210,-210,,200,,,,,,200,2,139.69,138.43,133.51,74.35,,Poland,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Miroslav Čaba,M,B,Multi-ply,21,20-23,19-23,Juniors,87.8,90,,,,,,220,-230,,,220,,,,,,220,1,144.07,142.27,136.50,75.38,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Pavel Vacek,M,B,Multi-ply,23,20-23,,Juniors,99.8,100,,,,,,120,-160,-165,,120,,,,,,120,1,73.93,73.09,69.81,38.19,,Czechia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Richárd Buda,M,B,Multi-ply,21,20-23,19-23,Juniors,112.5,125,,,,,,330,340,-350,,340,,,,,,340,1,199.70,198.76,190.11,102.47,,Hungary,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Filip Čížek,M,B,Multi-ply,21,20-23,19-23,Juniors,127,140,,,,,,-260,-270,270,,270,,,,,,270,1,152.27,153.38,146.70,77.96,,Czechia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Arkadiusz Herold,M,B,Multi-ply,41,40-44,40-49,M 40-44,99.1,100,,,,,,-250,-250,,,,,,,,,,DQ,,,,,,Poland,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Maik Seidel,M,B,Multi-ply,40,40-44,40-49,M 40-44,104.9,110,,,,,,190,197.5,200,,200,,,,,,200,1,120.67,119.55,114.16,62.13,,Germany,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Kai-Uwe Werner,M,B,Multi-ply,44,40-44,40-49,M 40-44,115.7,125,,,,,,-250,-250,-250,,,,,,,,,DQ,,,,,,Germany,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Jan Vítek,M,B,Multi-ply,44,40-44,40-49,M 40-44,139.7,140,,,,,,205,217.5,222.5,,222.5,,,,,,222.5,1,122.01,124.37,118.24,62.59,,Czechia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Werner Rampler,M,B,Multi-ply,49,45-49,,M 45-49,65.7,67.5,,,,,,-150,150,-157.5,-160,150,,,,,,150,1,117.93,118.22,114.90,65.39,,Austria,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Petr Šulc,M,B,Multi-ply,46,45-49,40-49,M 45-49,117.5,125,,,,,,190,-220,-220,,190,,,,,,190,1,109.90,109.79,105.17,56.32,,Czechia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Helmut Sontheimer,M,B,Multi-ply,52,50-54,50-59,M 50-54,88.5,90,,,,,,-165,-165,165,,165,,,,,,165,1,107.61,106.25,101.91,56.25,,Germany,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Jiří Barnet,M,B,Multi-ply,54,50-54,50-59,M 50-54,98.3,100,,,,,,130,140,-145,,140,,,,,,140,1,86.82,85.80,81.98,44.91,,Czechia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Karol Repiský,M,B,Multi-ply,50,50-54,50-59,M 50-54,120,125,,,,,,210,225,-235,,225,,,,,,225,1,129.22,129.36,123.96,66.19,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Boris Švirec,M,B,Multi-ply,51,50-54,50-59,M 50-54,125.3,140,,,,,,210,-215,-215,,210,,,,,,210,1,118.93,119.61,114.44,60.89,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Michael Schäefer,M,B,Multi-ply,53,50-54,50-59,M 50-54,125.2,140,,,,,,-177.5,177.5,180,,180,,,,,,180,2,101.96,102.54,98.11,52.21,,Germany,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Milan Vezmar,M,B,Multi-ply,59,55-59,50-59,M 55-59,80.7,82.5,,,,,,100,120,130,,130,,,,,,130,1,89.18,88.27,85.02,47.23,,Serbia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Jan Gołąbek,M,B,Multi-ply,56,55-59,50-59,M 55-59,108.3,110,,,,,,-165,165,-170,,165,,,,,,165,1,98.31,97.58,93.22,50.53,,Poland,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Romeo Lamprecht,M,B,Multi-ply,55,55-59,50-59,M 55-59,108,110,,,,,,190,-200,200,,200,,,,,,200,1,119.29,118.38,113.09,61.32,,Austria,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Václav Vimer,M,B,Multi-ply,55,55-59,50-59,M 55-59,109.6,110,,,,,,150,165,-170,,165,,,,,,165,2,97.86,97.21,92.90,50.27,,Czechia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Sándor Hajdú,M,B,Multi-ply,56,55-59,50-59,M 55-59,122,125,,,,,,190,200,-205,,200,,,,,,200,1,114.24,114.56,109.76,58.50,,Hungary,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Péter Mihály,M,B,Multi-ply,56,55-59,50-59,M 55-59,158,140+,,,,,,,,,,,,,,,,,DQ,,,,,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Wolfgang Seiler,M,B,Multi-ply,61,60-64,60-69,M 60-64,79.9,82.5,,,,,,-165,-175,,,,,,,,,,DQ,,,,,,Germany,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Wojciech Grabowski,M,B,Multi-ply,64,60-64,60-69,M 60-64,110,110,,,,,,-250,250,-265,,250,,,,,,250,1,148.07,147.12,140.61,76.05,,Poland,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Josef Hakl,M,B,Multi-ply,64,60-64,60-69,M 60-64,113.7,125,,,,,,-185,185,195,,195,,,,,,195,1,114.10,113.66,108.75,58.52,,Czechia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Alfred Stolz,M,B,Multi-ply,74,70-74,70-999,M 70-74,90,90,,,,,,157.5,165.5,-172.5,-175,165.5,,,,,,165.5,1,107.01,105.65,101.26,55.83,,Austria,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Frieder Hachenberger,M,B,Multi-ply,72,70-74,70-999,M 70-74,93.8,100,,,,,,-150,-150,-150,,,,,,,,,DQ,,,,,,Germany,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Erwin Trichlin,M,B,Multi-ply,76,75-79,70-999,M 75-79,65.4,67.5,,,,,,100,108,-110,,108,,,,,,108,1,85.20,85.44,83.06,47.31,,Austria,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Gerd Meyerhofer,M,B,Multi-ply,77,75-79,70-999,M 75-79,78.1,82.5,,,,,,60,65,-70,,65,,,,,,65,1,45.47,45.07,43.47,24.21,,Germany,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Tereza Nižňanská,F,B,Multi-ply,23,20-23,24-39,Juniors,55.9,56,,,,,,87.5,-92.5,92.5,-100,92.5,,,,,,92.5,1,107.35,108.99,96.41,60.58,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Mariša Golob,F,B,Multi-ply,25,24-34,24-39,Open,55.3,56,,,,,,110,115,117.5,,117.5,,,,,,117.5,1,137.34,139.62,123.53,77.58,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Dagmar Liptáková,F,B,Multi-ply,39,35-39,,Open,62.4,67.5,,,,,,125,-132.5,-135,,125,,,,,,125,1,135.23,135.22,119.42,75.89,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Zdenka Hudíková,F,B,Multi-ply,34,24-34,24-39,Open,81.9,82.5,,,,,,125,-135,137.5,,137.5,,,,,,137.5,1,128.07,124.22,108.79,72.52,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Sandro Kreller,M,B,Multi-ply,34,24-34,24-39,Open,73.4,75,,,,,,190,-195,195,,195,,,,,,195,1,141.86,141.08,136.45,76.47,,Germany,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Erik Kondákor,M,B,Multi-ply,28,24-34,24-39,Open,74.2,75,,,,,,160,180,-192.5,,180,,,,,,180,2,130.03,129.23,124.92,69.93,,Slovakia,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Andreas Bischof,M,B,Multi-ply,33,24-34,24-39,Open,82.1,82.5,,,,,,130,-145,-150,,130,,,,,,130,1,88.30,87.34,84.06,46.63,,Austria,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Vladislav Katsebo,M,B,Multi-ply,29,24-34,24-39,Open,80.2,82.5,,,,,,-215,-220,-220,,,,,,,,,DQ,,,,,,Ukraine,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Dominik Márton,M,B,Multi-ply,25,24-34,24-39,Open,81.4,82.5,,,,,,-160,-160,-160,,,,,,,,,DQ,,,,,,Hungary,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Bartosz Zaik,M,B,Multi-ply,29,24-34,24-39,Open,89.9,90,,,,,,220,-235,-235,,220,,,,,,220,1,142.33,140.53,134.69,74.26,,Poland,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
Mathias Steiner,M,B,Multi-ply,27,24-34,24-39,Open,88.3,90,,,,,,190,200,205,,205,,,,,,205,2,133.85,132.17,126.78,69.99,,Switzerland,,WUAP,WUAP,2015-06-16,Czechia,,Praha,European Championships
